,guid,id,english,greek,nsm,nsf,nsn,npm,npf,npn,asm,asf,asn,apm,apf,apn,gsm,gsf,gsn,gpm,gpf,gpn
0,,,angry,θυμωμένος,ος,η,ο,οι,ες,α,ο,η,ο,ους,ες,α,ου,ης,ου,ων,ων,ων
1,,,"awful, terrible, foul",απαίσιος,ος,α,ο,οι,ες,α,ο,α,ο,ους,ες,α,ου,ας,ου,ων,ων,ων
2,,,bad,κακός,ός,ή,ό,οί,ές,ά,ό,ή,ό,ούς,ές,ά,ού,ής,ού,ών,ών,ών
3,,,"beautiful, handsome",όμορφος,ος,η,ο,οι,ες,α,ο,η,ο,ους,ες,α,ου,ης,ου,ων,ων,ων
4,,,"big, large",μεγάλος,ος,η,ο,οι,ες,α,ο,η,ο,ους,ες,α,ου,ης,ου,ων,ων,ων
5,,,brave,γενναίος,ος,α,ο,οι,ες,α,ο,α,ο,ους,ες,α,ου,ας,ου,ων,ων,ων
6,,,clean,καθαρός,ός,ά,ό,οί,ές,ά,ό,ά,ό,ούς,ές,ά,ού,ής,ού,ών,ών,ών
7,,,cold,κρύος,ος,α,ο,οι,ες,α,ο,α,ο,ους,ες,α,ου,ας,ου,ων,ων,ων
8,,,crazy,τρελός,ός,ή,ό,οί,ές,ά,ό,ή,ό,ούς,ές,ά,ού,ής,ού,ών,ών,ών
9,,,difficult,δύσκολος,ος,η,ο,οι,ες,α,ο,η,ο,ους,ες,α,ου,ης,ου,ων,ων,ων
10,,,dirty,βρώμικος,ος,η,ο,οι,ες,α,ο,η,ο,ους,ες,α,ου,ης,ου,ων,ων,ων
11,,,easy,εύκολος,ος,η,ο,οι,ες,α,ο,η,ο,ους,ες,α,ου,ης,ου,ων,ων,ων
12,,,"fast, quick",γρήγορος,ος,η,ο,οι,ες,α,ο,η,ο,ους,ες,α,ου,ης,ου,ων,ων,ων
13,,,friendly,φιλικός,ός,ή,ό,οί,ές,ά,ό,ή,ό,ούς,ές,ά,ού,ής,ού,ών,ών,ών
14,,,funny,αστείος,ος,α,ο,οι,ες,α,ο,α,ο,ους,ες,α,ου,ας,ου,ων,ων,ων
15,,,"good, kind",καλός,ός,ή,ό,οί,ές,ά,ό,ή,ό,ούς,ές,ά,ού,ής,ού,ών,ών,ών
16,,,happy,χαρούμενος,ος,η,ο,οι,ες,α,ο,η,ο,ους,ες,α,ου,ης,ου,ων,ων,ων
17,,,independent,ανεξάρτητος,ος,η,ο,οι,ες,α,ο,η,ο,ους,ες,α,ου,ης,ου,ων,ων,ων
18,,,"kind, polite",ευγενικός,ός,ή,ό,οί,ές,ά,ό,ή,ό,ούς,ές,ά,ού,ής,ού,ών,ών,ών
19,,,negative,αρνητικός,ός,ή,ό,οί,ές,ά,ό,ή,ό,ούς,ές,ά,ού,ής,ού,ών,ών,ών
20,,,"new, young",νέος,ος,α,ο,οι,ες,α,ο,α,ο,ους,ες,α,ου,ας,ου,ων,ων,ων
21,,,old,παλιός,ός,ά,ό,οί,ές,ά,ό,ά,ό,ούς,ές,ά,ού,άς,ού,ών,ών,ών
22,,,positive,θετικός,ός,ή,ό,οί,ές,ά,ό,ή,ό,ούς,ές,ά,ού,ής,ού,ών,ών,ών
23,,,possible,πιθανός,ός,ή,ό,οί,ές,ά,ό,ή,ό,ούς,ές,ά,ού,ής,ού,ών,ών,ών
24,,,quiet,ήσυχος,ος,η,ο,οι,ες,α,ο,η,ο,ους,ες,α,ου,ης,ου,ων,ων,ων
25,,,sad,λυπημένος,ος,η,ο,οι,ες,α,ο,η,ο,ους,ες,α,ου,ης,ου,ων,ων,ων
26,,,selfish,εγωιστικός,ός,ή,ό,οί,ές,ά,ό,ή,ό,ούς,ές,ά,ού,ής,ού,ών,ών,ών
27,,,"serious, important, severe",σοβαρός,ός,ή,ό,οί,ές,ά,ό,ή,ό,ούς,ές,ά,ού,ής,ού,ών,ών,ών
28,,,short,κοντός,ός,ή,ό,οί,ές,ά,ό,ή,ό,ούς,ές,ά,ού,ής,ού,ών,ών,ών
29,,,"silly, stupid",ανόητος,ος,η,ο,οι,ες,α,ο,η,ο,ους,ες,α,ου,ης,ου,ων,ων,ων
30,,,slow,αργός,ός,ή,ό,οί,ές,ά,ό,ή,ό,ούς,ές,ά,ού,ής,ού,ών,ών,ών
31,,,small,μικρός,ός,ή,ό,οί,ές,ά,ό,ή,ό,ούς,ές,ά,ού,άς,ού,ών,ών,ών
32,,,"smart, clever",έξυπνος,ος,η,ο,οι,ες,α,ο,η,ο,ους,ες,α,ου,ης,ου,ων,ων,ων
33,,,strange,παράξενος,ος,η,ο,οι,ες,α,ο,η,ο,ους,ες,α,ου,ης,ου,ων,ων,ων
34,,,strong,δυνατός,ός,ή,ό,οί,ές,ά,ό,ή,ό,ούς,ές,ά,ού,ής,ού,ών,ών,ών
35,,,tall,ψηλός,ός,ή,ό,οί,ές,ά,ό,ή,ό,ούς,ές,ά,ού,ής,ού,ών,ών,ών
36,,,ugly,άσχημος,ος,η,ο,οι,ες,α,ο,η,ο,ους,ες,α,ου,ης,ου,ων,ων,ων
37,,,unlikable,αντιπαθητικός,ός,ή,ό,οί,ές,ά,ό,ή,ό,ούς,ές,ά,ού,ής,ού,ών,ών,ών
38,,,"warm, hot",ζεστός,ός,ή,ό,οί,ές,ά,ό,ή,ό,ούς,ές,ά,ού,ής,ού,ών,ών,ών
39,,,weak,αδύναμος,ος,η,ο,οι,ες,α,ο,η,ο,ους,ες,α,ου,ης,ου,ων,ων,ων
