,English,Greek
0,have,έχω
1,drink,πίνω
2,want,θέλω
3,be,είμαι
4,eat,τρώω
5,run,τρέχω
6,go,πάω
7,"do, make",κάνω
8,give,δίνω
9,know,ξέρω
10,cook,μαγειρεύω
11,buy,αγοράζω
12,change,αλλάζω
13,close,κλείνω
14,sleep,κοιμάμαι
15,find,βρίσκω
16,"listen, hear",ακούω
17,open,ανοίγω
18,put,βάζω
19,sit,κάθομαι
20,speak,μιλάω
21,"stay, live",μένω
22,stop,σταματάω
23,swim,κολυμπάω
24,understand,καταλαβαίνω
25,walk,περπατάω
26,work,δουλεύω
27,write,γράφω
28,pay,πληρώνω
29,play,παίζω
30,get up,σηκώνομαι
31,use,χρησιμοποιώ
32,speak,μιλάω
33,ask,ρωτάω
34,"learn, find out",μαθαίνω
35,arrange,κανονίζω
36,arrive (at),φτάνω σε
37,bake,ψήνω
38,be liked,αρέσω
39,build,κτίζω
40,dance,χορεύω
41,decide,αποφασίζω
42,dirty,λερώνω
43,"end, finish",τελειώνω
44,"entangle, baffle",μπλέκω
45,feel,νιώθω
46,feel sleepy,νυστάζω
47,have breakfast / lunch,προγευματίζω
48,hide,κρύβω
49,knit,πλέκω
50,"leave, allow",αφήνω
51,"look at, stare",κοιτάζω
52,"look for, search",ψάχνω
53,"lose, miss",χάνω
54,"make (the bed), set (the table)",στρώνω
55,"make, fix",φτιάχνω
56,paint,βάφω
57,prepare,ετοιμάζω
58,"read, study",διαβάζω
59,regret,μετανιώνω
60,"remove, take off/out",βγάζω
61,scare,τρομάζω
62,scold,μαλώνω
63,scream,ουρλιάζω
64,send,στέλνω
65,shiver,τρέμω
66,shop,ψωνίζω
67,shout,φωνάζω
68,be named (my name is),ονομάζομαι
69,get dressed,ντύνομαι
70,get tired,κουράζομαι
71,"relax, rest",ξεκουράζομαι
72,ask for,ζητάω
73,be hungry,πεινάω
74,be thirsty,διψάω
75,call,τηλεφωρώ
76,count,μετράω
77,drive,οδηγώ
78,"fly, throw away",πετάω
79,forgive,συγχωρώ
80,jump,πηδάω
81,"keep, hold",κρατάω
82,kiss,φιλάω
83,love,αγαπάω
84,"pass, cross",περνάω
85,prefer,προτιμάω
86,slow down,αργώ
87,be able,μπορώ
88,"make a mistake, be at fault",φταίω
89,be afraid,φοβάμαι
90,be sorry,λυπάμαι
91,"be stressed, get anxious",αγχώνομαι
92,come/stem (from),κατάγομαι
93,dream,ονειρεύομαι
94,feel,αισθάνομαι
95,hurry,βιάζομαι
96,"occupy, be busy",ασχολούμαι
97,remember,θυμάμαι
98,"bring, fetch",φέρνω
99,burn,καίω
100,come,έρχομαι
101,cry,κλαίω
102,"enter, go in",μπαίνω
103,go (to),πηγαίνω σε
104,go out,βγαίνω
105,leave,φεύγω
106,"live, be alive",ζω
107,miss (someone),λείπω
108,"say, tell",λέω
109,"see, watch",βλέπω
110,be named (my name is),λέγομαι
111,be angry,θημώνω
112,"be aware, know",γνορίζω
113,live (in),kατοικώ
114,"prepare, get ready",ετoιμάζομαι
115,start,αρχίζω
116,start,ξεκινάω
117,"stay, be located",βρίσκομαι
118,suffer,παθαίνω
119,"take care of, pay attention",προσέχω
120,"take, get",παίρνω
121,taste,δοκιμάζω
122,tear,σκίζω
123,tease,πειράζο
124,"think about, consider",σκέφτομαι
125,"think, believe",νομίζω
126,"throw, drop",ρίχνω
127,"tie, bind",δένω
128,tighten,σφίγγω
129,touch,αγγίζω
130,"touch, reach",πιάνω
131,travel,ταξιδεύω
132,turn,στρίβω
133,turn on (the light),ανάβω
134,"turn, return",γυρίζω
135,"turn, return",γυρνάω
136,"wait, expect",περιμένω
137,wake up,ξυπνάω
138,"wash up, bathe oneself",πλένομαι
139,whistle,σφυρίζω
140,win,κερδίζω
141,"work, labor",εργάζομαι
